teamidloanedfrom,playerid,loandateend
242,213114,159505
1842,213328,159871
234,213404,159505
1,213407,159505
111396,213488,159475
237,213582,159324
54,213614,159505
110975,213618,159324
11,213642,159505
11,213678,159505
11,213696,159505
1930,213797,159505
1887,213801,159505
45,213829,159505
1530,213839,159505
111651,213937,159505
101102,214016,159324
1788,214099,159505
101099,214124,159505
101114,214129,159324
110975,214217,159324
110980,214271,159324
110980,214279,159324
15019,214313,159505
101103,214343,159505
101101,214350,159324
101100,214358,159505
110781,214369,159324
15029,214413,159324
111328,214435,159324
112578,214482,159505
1970,214491,159324
1877,214606,159505
101100,214608,159324
101100,214609,159505
110145,214660,159505
1882,214671,159324
110150,214685,159324
110977,214701,159324
110975,214710,159324
110975,214753,159324
110395,214762,159324
234,214776,159505
15029,214836,159324
110980,214874,159324
110093,214937,159505
240,214942,159505
112670,214969,159505
1809,214991,159505
111716,215010,159324
111710,215013,159505
234,215051,159505
111678,215089,159505
110147,215103,159324
111715,215202,159505
240,215213,159505
111022,215267,159324
110093,215309,159505
237,215322,159505
101083,215328,159505
1876,215332,159505
1837,215333,159871
17,215334,159505
52,215376,159505
19,215556,159505
5,215565,159505
39,215689,159505
39,215751,159505
17,215756,159505
1943,215818,159505
1797,215855,159448
86,215864,159505
111678,216019,159505
112534,216023,159324
111711,216052,159505
110150,216054,159324
39,216065,159505
65,216433,159505
1939,216467,159505
91,216478,159324
2,216485,159505
1795,216656,159505
112791,216665,159505
111839,216736,159324
483,216778,159505
39,216789,159505
1920,216794,159293
326,216814,159505
417,216817,159324
674,217242,159505
95,217699,159505
417,217718,159324
7,217731,159505
234,217998,159505
15029,218387,159324
983,218471,159611
68,218623,159505
17,218660,159505
17,218661,159326
1795,218880,159505
101103,218991,159505
110977,219104,159324
101085,219167,159324
14,219177,159505
101100,219413,159505
15,219458,159505
55,219469,159505
88,219470,159505
36,219510,159324
110580,219518,159324
110580,219523,159324
605,219525,159505
111706,219531,159505
110144,219570,159324
449,219571,159505
192,219585,159505
101103,219595,159475
1876,219617,159505
110975,219636,159324
483,219637,159505
200,219655,159505
101085,219670,159505
110374,219712,159505
819,219755,159505
189,219758,159505
1939,219795,159505
463,219796,159505
189,219852,159505
166,219937,159505
14,219948,159505
110741,219956,159505
189,219988,159505
219,220029,159505
1943,220045,159505
189,220084,159505
1925,220149,159325
236,220172,159505
144,220191,159505
55,220230,159505
65,220337,159505
449,220355,159505
39,220466,159505
48,220475,159505
110374,220509,159505
111974,220513,159505
48,220528,159505
48,220529,159505
48,220531,159505
110502,220558,159505
1048,220655,159505
36,220658,159505
101100,220695,159324
9,220710,159505
111706,220754,159505
101102,220805,159324
449,220815,159505
634,220831,159505
674,220837,159505
19,220862,159505
1819,220876,159505
95,220894,159505
689,220934,159324
1806,221000,159475
481,221014,159505
191,221024,159505
110062,221179,159505
97,221197,159325
68,221250,159505
101102,221310,159505
111974,221331,159505
1837,221339,159871
19,221346,159505
10,221350,159505
1794,221355,159505
112096,221373,159505
236,221433,159505
110406,221441,159505
467,221452,159505
110977,221489,159324
111144,221504,159324
97,221525,159349
192,221562,159505
260,221601,159505
69,221701,159505
55,221702,159505
237,221750,159505
1474,221789,159349
2056,221831,159611
112670,221832,159505
101085,221990,159505
47,222077,159505
18,222079,159505
199,222153,159505
111768,222179,159324
110765,222335,159505
1797,222396,159505
18,222399,159324
240,222457,159475
1853,222467,159505
922,222469,159293
39,222488,159505
110396,222611,159505
379,222636,159505
101088,222644,159324
243,222665,159505
1598,222678,159505
1475,222698,159505
1478,222702,159611
673,222724,159505
38,222773,159505
14,222878,159505
17,222922,159326
256,222930,159475
573,222943,159505
144,222951,159505
55,223007,159505
110147,223054,159324
453,223056,159505
111710,223071,159505
231,223074,159505
1877,223097,159505
101085,223105,159324
110,223115,159505
1837,223137,159505
1793,223157,159505
1926,223180,159325
483,223197,159505
55,223198,159505
110404,223240,159505
5,223273,159505
1799,223306,159475
46,223332,159505
110556,223393,159505
1878,223422,159475
1876,223495,159505
573,223498,159505
111974,223524,159505
1028,223637,159324
206,223638,159505
462,223654,159505
100409,223679,159505
88,223746,159505
38,223765,159505
1796,223804,159505
59,223898,159505
1878,223956,159475
10,223978,159505
10,223979,159505
1793,223988,159505
9,224021,159505
110093,224065,159505
8,224097,159505
8,224099,159330
110093,224104,159505
1842,224121,159505
39,224123,159505
1896,224126,159324
111022,224205,159324
1879,224230,159475
247,224242,159505
7,224265,159505
1871,224304,159324
1793,224307,159505
111019,224317,159475
110980,224344,159324
110396,224386,159505
206,224387,159505
112791,224436,159505
110580,224437,159505
45,224508,159505
9,224520,159505
2,224526,159325
463,224527,159505
110062,224584,159505
72,224756,159505
1,224763,159505
379,224826,159505
54,224836,159505
86,224842,159505
247,224859,159505
110556,224876,159505
240,224953,159505
561,224965,159325
674,224967,159505
1837,224982,159505
110374,225014,159505
192,225016,159505
1919,225072,159505
100409,225075,159505
111974,225115,159505
39,225117,159505
1960,225127,159505
15005,225152,159505
44,225295,159505
97,225310,159505
112533,225396,159324
673,225430,159505
1792,225468,159505
88,225476,159505
110,225509,159505
1795,225530,159505
670,225533,159505
110329,225561,159505
111019,225590,159505
483,225591,159505
111657,225606,159505
97,225650,159505
1790,225667,159325
101100,225812,159324
52,225844,159505
217,225927,159505
1516,225956,159324
1932,225986,159329
15,226012,159505
86,226084,159475
45,226098,159505
1806,226116,159505
463,226157,159505
101088,226170,159505
142,226172,159505
448,226215,159505
73,226226,159505
44,226268,159505
112260,226352,159325
206,226356,159505
191,226380,159505
483,226385,159324
19,226430,159505
1808,226454,159505
45,226468,159505
1797,226507,159325
320,226524,159324
1970,226576,159505
55,226592,159505
112523,226604,159505
101084,226668,159324
112670,226698,159505
191,226705,159505
1013,226709,159505
111974,226710,159505
110147,226716,159475
674,226729,159505
101085,226787,159505
1919,226791,159505
110147,226832,159475
1876,227186,159505
2,227219,159505
1917,227288,159324
1801,227529,159325
245,227557,159505
192,227617,159505
110500,227638,159505
70,227667,159505
12,227675,159505
112527,227740,159324
78,227759,159505
1524,227784,159324
110406,227785,159505
13,227806,159324
674,227835,159505
101014,227868,159505
91,227878,159325
1951,227948,159505
109,228017,159505
22,228080,159505
8,228106,159505
247,228120,159505
19,228151,159505
18,228174,159505
298,228212,159324
561,228239,159505
110502,228240,159505
241,228321,159505
920,228327,159324
110,228385,159505
110,228408,159325
95,228410,159505
45,228413,159505
237,228414,159505
1013,228520,159505
1903,228568,159505
25,228593,159505
112259,228596,159505
243,228635,159505
232,228639,159505
237,228650,159505
47,228651,159505
1801,228658,159331
55,228681,159505
113057,228691,159505
1903,228762,159505
1795,228770,159324
457,228780,159505
111974,228788,159505
1808,228789,159505
605,228794,159505
2,228814,159505
48,228821,159505
247,228860,159505
110093,228867,159505
1516,229036,159505
159,229067,159871
472,229270,159505
25,229277,159505
36,229336,159505
7,229348,159505
144,229367,159505
144,229368,159325
144,229375,159505
144,229378,159505
237,229391,159871
112668,229440,159324
69,229453,159505
112668,229467,159324
28,229472,159505
485,229477,159505
462,229516,159505
59,229575,159505
45,229593,159505
13,229604,159329
7,229605,159505
1867,229624,159505
1860,229631,159505
110980,229650,159324
12,229685,159505
10029,229701,159505
69,229712,159505
110975,229722,159324
1842,229743,159505
110,229745,159325
1876,229749,159324
101083,229751,159505
110147,229831,159475
94,229912,159505
52,229927,159505
463,229966,159505
461,229991,159505
74,230043,159505
55,230072,159475
1530,230107,159505
1871,230121,159505
1746,230145,159505
8,230561,159505
327,230624,159475
14,230708,159505
91,230714,159505
45,230768,159505
44,230800,159505
12,230807,159505
12,230812,159505
234,230824,159505
55,230858,159505
1796,230888,159475
110556,230912,159505
674,230933,159505
573,230964,159505
9,230978,159505
212,230995,159505
1925,231005,159325
112260,231033,159325
110374,231050,159505
39,231073,159505
109,231139,159505
573,231212,159505
417,231241,159324
1799,231267,159505
70,231307,159505
72,231318,159505
5,231352,159505
110636,231353,159505
110396,231360,159505
234,231390,159505
1795,231416,159505
111974,231428,159505
19,231442,159505
1,231448,159505
111019,231479,159505
11,231485,159505
1877,231524,159505
11,231535,159505
3,231540,159505
1919,231613,159505
34,231614,159505
91,231615,159336
25,231624,159505
52,231627,159505
110,231628,159505
113057,231661,159505
101104,231713,159324
175,231745,159505
62,231753,159505
110147,231815,159324
44,231826,159505
243,231856,159505
480,231873,159505
983,231910,159342
12,231929,159505
1795,231951,159326
110147,232066,159324
10,232080,159505
481,232090,159505
9,232099,159505
1853,232120,159505
819,232127,159505
191,232156,159505
15029,232189,159324
66,232192,159505
1475,232193,159689
175,232203,159505
15029,232205,159324
15029,232206,159308
9,232208,159505
1475,232216,159349
11,232270,159505
175,232293,159505
112139,232325,159505
742,232329,159475
111575,232372,159355
111239,232377,159505
234,232432,159505
113157,232506,159355
1792,232520,159505
983,232595,159324
113157,232609,159355
1,232610,159505
112093,232622,159355
8,232623,159505
243,232656,159505
101085,232661,159505
159,232671,159505
605,232675,159505
110396,232708,159324
1824,232730,159505
1842,232770,159505
101151,232785,159355
101146,232916,159355
101145,232950,159355
101145,232952,159355
5,233064,159505
101102,233078,159505
1877,233084,159324
111730,233151,159355
111730,233152,159355
1788,233213,159324
10030,233216,159505
110556,233223,159505
1949,233289,159325
101085,233292,159505
11,233306,159505
573,233329,159505
1800,233377,159329
231,233487,159475
45,233556,159505
110374,233564,159505
110765,233581,159505
467,233588,159505
1877,233774,159505
14,233795,159325
1919,233804,159354
46,233808,159505
142,233832,159505
88,233865,159293
322,233884,159505
670,233897,159505
1800,233915,159505
7,234045,159505
10,234060,159324
36,234078,159505
1932,234087,159336
112534,234097,159324
44,234102,159505
1877,234108,159505
1943,234249,159505
88,234258,159339
3,234259,159505
3,234261,159505
448,234359,159505
73,234371,159505
112260,234412,159329
1831,234418,159505
1877,234463,159505
1961,234496,159505
112709,234518,159324
1516,234521,159505
1816,234619,159505
1516,234629,159505
12,234645,159325
95,234742,159505
462,234779,159505
467,234781,159505
19,234826,159505
237,234835,159505
10,234867,159871
101100,234899,159505
1919,234940,159329
1919,234941,159329
1919,235014,159505
38,235022,159505
91,235059,159325
112791,235133,159505
1796,235156,159331
69,235171,159505
1837,235194,159505
674,235222,159505
1793,235247,159505
1923,235267,159505
54,235290,159505
15029,235311,159308
100634,235324,159505
39,235378,159505
72,235381,159505
109,235405,159325
607,235479,159505
237,235512,159505
229,235513,159505
472,235515,159505
243,235522,159505
39,235546,159505
76,235553,159505
109,235618,159505
18,235619,159505
1860,235623,159505
1032,235714,159475
36,235719,159324
4,235785,159325
169,235800,159505
44,235841,159505
44,235842,159505
111993,235863,159505
69,235887,159505
69,235888,159505
106,235913,159330
111974,235942,159505
463,235943,159505
112791,235949,159505
481,235983,159505
94,236008,159505
97,236027,159331
449,236221,159505
9,236246,159505
9,236247,159324
9,236248,159505
110832,236259,159505
217,236279,159505
452,236295,159505
1867,236304,159505
111974,236308,159505
3,236310,159505
17,236315,159505
241,236393,159505
1806,236464,159505
1809,236466,159505
247,236498,159505
1013,236507,159324
1808,236529,159505
1939,236530,159505
1048,236545,159324
1943,236550,159324
1804,236557,159329
1824,236624,159505
1013,236669,159505
481,236692,159505
573,236695,159505
94,236710,159325
110831,236760,159505
1792,236785,159505
1819,236817,159505
169,236831,159505
240,236837,159505
1516,236883,159505
112224,236890,159475
8,236938,159324
1795,237034,159505
112527,237105,159324
1879,237203,159324
236,237297,159505
11,237310,159505
45,237317,159505
191,237321,159505
674,237333,159505
1943,237379,159325
44,237383,159505
605,237411,159505
112444,237428,159355
472,237438,159505
112093,237452,159355
110093,237512,159505
39,237544,159505
191,237574,159505
256,237592,159505
1837,237594,159505
21,237595,159505
101150,237681,159324
127,237719,159325
101088,237817,159505
1961,237833,159335
1879,237849,159475
101085,237876,159505
1795,237942,159505
237,237960,159505
237,238160,159475
110556,238180,159505
708,238214,159324
240,238225,159505
1842,238232,159505
1803,238326,159325
66,238392,159505
1792,238450,159505
605,238500,159505
112139,238546,159505
86,238602,159325
1896,238616,159505
543,238670,159505
12,238840,159505
1925,238846,159505
463,238900,159505
252,238986,159505
1048,239018,159505
242,239120,159505
1880,239127,159475
110569,239145,159505
322,239209,159505
241,239231,159505
682,239259,159505
896,239268,159505
210,239312,159505
243,239335,159505
15,239358,159336
69,239452,159505
234,239465,159505
236,239482,159505
111239,239494,159505
52,239570,159505
31,239571,159505
191,239712,159505
485,239775,159505
111974,239807,159505
52,239838,159505
52,239839,159505
65,239894,159505
59,239910,159505
1896,239917,159505
234,239950,159505
110556,239997,159505
237,239999,159505
112172,240000,159871
1823,240023,159505
209,240045,159505
1896,240175,159505
110396,240188,159505
39,240215,159505
39,240216,159505
112584,240224,159324
110770,240242,159505
110980,240251,159324
1808,240282,159505
21,240319,159505
112116,240320,159324
1938,240345,159505
74,240434,159505
62,240453,159505
417,240497,159324
94,240500,159505
1819,240501,159505
192,240530,159505
894,240533,159505
1746,240564,159505
112387,240600,159505
2,240604,159505
48,240627,159505
1917,240673,159325
1951,240696,159336
1860,240716,159505
1926,240745,159505
69,240755,159505
1794,240768,159330
110374,240777,159505
110374,240778,159505
110374,240785,159505
1877,240811,159505
110839,240922,159505
44,241103,159505
100888,241128,159505
110373,241165,159505
112139,241197,159505
1919,241236,159505
110396,241292,159505
112540,241312,159324
112983,241341,159324
219,241389,159505
14,241429,159505
2,241438,159325
112162,241444,159324
13,241456,159505
483,241462,159505
483,241464,159505
483,241465,159505
144,241474,159505
191,241585,159505
111974,241628,159505
45,241629,159505
449,241682,159505
36,241689,159871
110556,241775,159505
605,241779,159505
449,241867,159505
1794,241953,159344
1831,241995,159505
101085,242019,159505
25,242041,159871
191,242045,159505
1970,242069,159475
112535,242080,159505
112579,242099,159505
112139,242107,159505
1879,242118,159475
463,242188,159505
236,242216,159505
298,242263,159505
73,242324,159505
1968,242333,159505
236,242359,159505
160,242383,159505
237,242389,159505
112970,242492,159505
111140,242503,159505
101100,242556,159324
1860,242792,159505
65,243132,159505
1853,243210,159505
54,243241,159505
234,243270,159505
112584,243343,159324
74,243593,159505
80,243688,159505
191,243698,159505
111716,243759,159505
10,243834,159505
69,243911,159505
1876,243912,159475
243,243952,159505
469,243995,159505
234,244020,159505
217,244022,159505
111974,244038,159505
240,244206,159505
10030,244233,159505
69,244246,159505
95,244269,159505
21,244280,159505
1794,244306,159505
191,244438,159505
111974,244456,159505
435,244620,159505
48,244621,159505
166,244635,159505
243,244647,159505
54,244836,159505
52,244872,159505
605,244883,159505
1871,244891,159505
237,244963,159505
112139,244966,159505
1896,245021,159505
111974,245091,159505
110556,245144,159505
1795,245158,159505
483,245159,159505
450,245219,159505
1808,245231,159505
112387,245276,159505
189,245277,159505
605,245416,159505
44,245459,159505
45,245566,159505
46,245639,159505
73,245716,159505
605,245737,159505
45,245764,159505
111974,245784,159505
15,245788,159325
1917,246046,159325
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
